file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
ISLE_SESS0131_BLOCKD02_01_sprt1,0.0,4.125,corpus,-44.27030682506053,-48.83211047832783,5.216135178007751,11.130290286835924
ISLE_SESS0131_BLOCKD02_02_sprt1,0.0,3.875,corpus,-44.723350918170105,-49.101614865389735,4.756709264218449,12.422107757688021
F2BJRLP3,0.0,30.7068125,corpus,-45.55908091826767,-46.63663755604919,3.6714218175540903,10.550078877966195
ISLE_SESS0131_BLOCKD02_03_sprt1,0.0,4.5,corpus,-45.201449652777775,-50.88485248272236,3.4103606233352846,11.42655312425563
F2BJRLP1,0.0,25.309125,corpus,-45.773394285855396,-46.20863333839332,3.3767408791472096,8.445046382542365
F2BJRLP2,0.0,28.6474375,corpus,-45.30633180628272,-45.997440585607215,2.8969694656514204,8.2026224387844
